satellite_1,satellite_2,distance_km,relative_speed_km_s,altitude_diff_km,inclination_diff_deg,object_type_risk,time_to_event_hours,collision_occurred,collision_probability
DEBRIS_A,Starlink-1001,2.544,0.965,140,1.4,0.8,145.5309748756116,0,0.9297
ISS,Envisat,0.012,14.884,374,46.9,0.2,103.7751454664936,1,0.017
Starlink-1001,Tiangong,2.254,4.453,161,11.5,0.2,61.61215348901084,0,0.5476
Starlink-1001,DEBRIS_A,8.981,0.298,140,1.4,0.8,158.29567477948677,0,0.99
ISS,GPS-79,1.952,7.478,19792,3.4,0.2,5.873832695245168,0,0.2958
Hubble,DEBRIS_B,52.392,11.649,1,0.0,0.8,157.84187228862734,0,0.99
Hubble,DEBRIS_A,20.634,8.141,137,23.2,0.8,98.61552071496011,0,0.99
Starlink-1001,Cosmos-1408 Debris,22.192,3.061,135,29.6,0.9,1.027163465052843,0,0.99
Cosmos-1408 Debris,Starlink-1001,6.658,1.826,135,29.6,0.9,145.01506520451215,0,0.9899
Cosmos-1408 Debris,DEBRIS_B,12.357,5.806,133,54.1,0.9,163.2504608158305,0,0.99
Envisat,Cosmos-1408 Debris,1.763,6.646,367,16.0,0.9,33.968654072113026,0,0.6655
Starlink-1001,DEBRIS_A,11.643,3.126,140,1.4,0.8,158.405114496685,0,0.99
DEBRIS_A,DEBRIS_B,1.672,6.902,138,23.2,0.8,36.77614940870636,0,0.5904
Starlink-1001,Hubble,8.356,12.288,3,24.5,0.2,144.61666492874005,0,0.7092
Cosmos-1408 Debris,Starlink-1001,6.179,14.149,135,29.6,0.9,54.36577228628481,0,0.6558
Hubble,Iridium-33 Debris,10.315,4.583,233,57.9,0.9,47.92471900597682,0,0.99
Envisat,Hubble,4.108,2.259,235,70.1,0.2,82.27911845060282,0,0.8552
Tiangong,Starlink-1001,6.878,9.521,161,11.5,0.2,106.46963843675422,0,0.7276
DEBRIS_B,Starlink-1001,0.251,7.73,2,24.5,0.8,38.12864065573378,0,0.3558
GPS-79,DEBRIS_A,3.518,8.168,19790,3.4,0.8,116.9222006500393,0,0.7128
DEBRIS_B,Hubble,12.257,13.251,1,0.0,0.8,31.7839234905176,0,0.9771
Starlink-1001,Iridium-33 Debris,2.644,13.488,230,33.4,0.9,101.91943911684514,0,0.2841
Envisat,Tiangong,9.972,6.782,393,57.1,0.2,167.0694079723568,0,0.9662
Starlink-1001,Envisat,16.077,8.568,232,45.5,0.2,15.827993518336728,0,0.99
ISS,Cosmos-1408 Debris,14.96,11.943,7,30.9,0.9,84.49276793236176,0,0.99
Envisat,Starlink-1001,2.924,14.113,232,45.5,0.2,160.26460807873443,0,0.0853
Starlink-1001,Tiangong,12.07,8.627,161,11.5,0.2,164.69767290592407,0,0.9791
DEBRIS_A,GPS-79,7.53,12.679,19790,3.4,0.8,156.24982656473867,0,0.8266
ISS,Iridium-33 Debris,31.479,11.137,372,34.8,0.9,117.12894291310549,0,0.99
Tiangong,Cosmos-1408 Debris,36.669,7.719,26,41.1,0.9,84.30458587798081,0,0.99
Starlink-1001,DEBRIS_A,7.064,1.5,140,1.4,0.8,97.1932356732576,0,0.99
Tiangong,DEBRIS_A,0.465,0.656,21,10.2,0.8,138.2146341347566,0,0.8369
Starlink-1001,Hubble,1.338,0.87,3,24.5,0.2,89.31444264029204,0,0.6917
ISS,DEBRIS_B,0.629,6.042,140,23.2,0.8,72.88813183980659,0,0.5254
Cosmos-1408 Debris,ISS,17.86,6.193,7,30.9,0.9,29.196116339895006,0,0.99
DEBRIS_A,Hubble,15.253,7.799,137,23.2,0.8,110.42899205517801,0,0.99
Tiangong,ISS,1.92,5.194,19,10.2,0.2,15.513063150076892,0,0.4506
Tiangong,Hubble,6.377,7.024,158,13.0,0.2,109.19700131571997,0,0.8148
ISS,Tiangong,40.644,7.565,19,10.2,0.2,90.66147358637049,0,0.99
Iridium-33 Debris,GPS-79,12.852,5.884,19420,31.4,0.9,108.1080918764711,0,0.99
Envisat,Starlink-1001,35.364,3.017,232,45.5,0.2,11.74576241694028,0,0.99
Envisat,Iridium-33 Debris,17.167,5.175,2,12.1,0.9,43.870611290808135,0,0.99
DEBRIS_A,GPS-79,19.924,12.072,19790,3.4,0.8,47.45360473472236,0,0.99
DEBRIS_A,GPS-79,22.469,5.178,19790,3.4,0.8,156.37415496883852,0,0.99
Tiangong,Cosmos-1408 Debris,11.464,7.499,26,41.1,0.9,65.51687667620426,0,0.99
Starlink-1001,Envisat,47.129,10.184,232,45.5,0.2,81.11526744499967,0,0.99
Starlink-1001,Tiangong,20.938,11.895,161,11.5,0.2,132.6768861752056,0,0.99
Tiangong,ISS,6.483,1.844,19,10.2,0.2,24.10830341667114,0,0.9564
Hubble,DEBRIS_A,25.878,10.623,137,23.2,0.8,13.75846026977497,0,0.99
Starlink-1001,Envisat,64.032,11.325,232,45.5,0.2,63.27398441064076,0,0.99
ISS,Iridium-33 Debris,10.178,0.269,372,34.8,0.9,78.7881217908138,0,0.99
Tiangong,Starlink-1001,49.121,5.686,161,11.5,0.2,48.07105928672442,0,0.99
Hubble,Envisat,12.179,4.908,235,70.1,0.2,7.3869915157632065,0,0.99
GPS-79,DEBRIS_A,14.889,10.467,19790,3.4,0.8,76.41744477450912,0,0.99
Tiangong,DEBRIS_B,0.894,5.978,159,13.0,0.8,18.02434347063499,0,0.563
ISS,Hubble,13.144,1.258,139,23.2,0.2,163.70088820714935,0,0.99
Starlink-1001,Hubble,36.275,12.356,3,24.5,0.2,159.57140544171403,0,0.99
DEBRIS_B,Cosmos-1408 Debris,0.401,5.709,133,54.1,0.9,136.19190423826973,0,0.5714
Tiangong,Cosmos-1408 Debris,0.984,0.649,26,41.1,0.9,22.573770746626316,0,0.8907
DEBRIS_A,Starlink-1001,36.656,8.819,140,1.4,0.8,122.01568971966329,0,0.99
Cosmos-1408 Debris,DEBRIS_A,4.818,3.188,5,30.9,0.9,147.5532500697564,0,0.9628
ISS,Hubble,26.701,4.686,139,23.2,0.2,137.17116494227318,0,0.99
Hubble,Tiangong,3.592,2.132,158,13.0,0.2,2.542049365637376,0,0.8259
ISS,Envisat,6.422,7.758,374,46.9,0.2,131.67534083923792,0,0.783
DEBRIS_A,GPS-79,21.975,1.087,19790,3.4,0.8,7.800106629337872,0,0.99
Tiangong,ISS,11.559,6.956,19,10.2,0.2,98.2822291888629,0,0.9836
Starlink-1001,DEBRIS_B,16.519,2.668,2,24.5,0.8,32.38532625797583,0,0.99
DEBRIS_B,GPS-79,11.935,8.063,19652,26.5,0.8,59.870970209266474,0,0.99
Tiangong,Cosmos-1408 Debris,9.842,10.348,26,41.1,0.9,86.00721257458515,0,0.9738
Starlink-1001,Envisat,6.942,7.319,232,45.5,0.2,103.9049761399367,0,0.8423
GPS-79,ISS,17.431,12.682,19792,3.4,0.2,125.96056535424182,0,0.99
